dataset,variant,NDCG@5,Soft P@5,Hard P@5,NDCG@10
NeurIPS,EviRank,0.8580,0.6059,0.2824,0.8840
NeurIPS,w/o Interaction,0.8447,0.5941,0.2765,0.8821
NeurIPS,w/o Profile,0.8467,0.6059,0.2824,0.8905
NeurIPS,w/o Dense,0.8467,0.6059,0.2824,0.8816
NeurIPS,w/o Lexical,0.8482,0.6059,0.2824,0.8828
KDD,EviRank,0.5087,0.4230,0.1759,0.5705
KDD,w/o Interaction,0.4978,0.4046,0.1644,0.5745
KDD,w/o Profile,0.4813,0.4011,0.1632,0.5497
KDD,w/o Dense,0.5061,0.4218,0.1759,0.5740
KDD,w/o Lexical,0.5040,0.4184,0.1747,0.5716
SIGIR,EviRank,0.4475,0.5452,0.2466,0.3993
SIGIR,w/o Interaction,0.4046,0.4904,0.2192,0.3767
SIGIR,w/o Profile,0.4305,0.5205,0.2301,0.3943
SIGIR,w/o Dense,0.4411,0.5370,0.2411,0.3970
SIGIR,w/o Lexical,0.4346,0.5205,0.2384,0.3940
SciRepEval,EviRank,0.7095,0.6953,0.3589,0.7596
SciRepEval,w/o Interaction,0.6931,0.6785,0.3458,0.7488
SciRepEval,w/o Profile,0.7033,0.6822,0.3533,0.7551
SciRepEval,w/o Dense,0.7060,0.6916,0.3570,0.7550
SciRepEval,w/o Lexical,0.7033,0.6841,0.3551,0.7550
