dataset,lambda,ndcg@5,ndcg@10,soft_map@10,hard_map@10,soft_p@5,hard_p@5
kdd,0.0,0.4233,0.4984,0.3614,0.2362,0.3586,0.1471
kdd,0.2,0.5061,0.5705,0.4385,0.2702,0.4218,0.1759
kdd,0.4,0.5471,0.6227,0.4949,0.2949,0.4494,0.1874
kdd,0.6,0.5740,0.6720,0.5492,0.3217,0.4632,0.1966
kdd,0.8,0.6108,0.6995,0.5863,0.3341,0.4954,0.2138
kdd,1.0,0.6156,0.6894,0.5770,0.3391,0.5195,0.2092
nips,0.0,0.8279,0.8763,0.7144,0.4705,0.5706,0.2706
nips,0.2,0.8467,0.8840,0.7359,0.4724,0.6059,0.2824
nips,0.4,0.8354,0.8705,0.7424,0.4559,0.6000,0.2824
nips,0.6,0.7967,0.8513,0.7122,0.4305,0.5882,0.2647
nips,0.8,0.7651,0.8368,0.6762,0.3885,0.5588,0.2647
nips,1.0,0.7254,0.8130,0.6192,0.3677,0.5235,0.2294
sigir,0.0,0.3413,0.3265,0.0325,0.0243,0.4247,0.1836
sigir,0.2,0.4475,0.3993,0.0445,0.0312,0.5452,0.2466
sigir,0.4,0.4762,0.4518,0.0545,0.0366,0.5699,0.2301
sigir,0.6,0.4986,0.4945,0.0644,0.0414,0.6027,0.2466
sigir,0.8,0.5400,0.5270,0.0729,0.0470,0.6767,0.2904
sigir,1.0,0.6186,0.6081,0.0883,0.0716,0.7425,0.3644
scirepeval,0.0,0.6900,0.7540,0.6660,0.4599,0.6729,0.3364
scirepeval,0.2,0.7095,0.7551,0.6702,0.4607,0.6953,0.3589
scirepeval,0.4,0.6967,0.7572,0.6701,0.4583,0.6729,0.3477
scirepeval,0.6,0.6790,0.7497,0.6600,0.4468,0.6598,0.3327
scirepeval,0.8,0.6605,0.7300,0.6408,0.4238,0.6486,0.3252
scirepeval,1.0,0.5883,0.6743,0.5831,0.3604,0.6093,0.2935
